"","Participant","Gender","Age","Lextale score","OrderofOccurrence","ItemType","item","AdjectiveFreq","NounFreq","LemNounFreq","CollFreq","LemCollFreq","LDscores","Length","ErrorRate","ReactionTime","Language"
"1","EE01","M",28,80.5,2,"High_freq","long time",5.69,6.13,6.2,4.61,4.63,7.28,8,1,0.620342016,"English"
"2","EE01","M",28,80.5,1,"High_freq","young people",5.45,6.03,6.04,4.53,4.53,7.36,11,1,1.553977013,"English"
"3","EE01","M",28,80.5,2,"High_freq","recent years",5.14,5.89,6.15,4.4,4.4,7.39,11,1,1.434381962,"English"
"4","EE01","M",28,80.5,1,"High_freq","local government",5.61,5.74,5.77,4.48,4.58,8.06,15,1,0.686410904,"English"
"5","EE01","M",28,80.5,2,"High_freq","old man",5.67,5.71,5.93,4.34,4.4,7.65,6,1,0.787026882,"English"
"6","EE01","M",28,80.5,1,"High_freq","labour party",5.38,5.54,5.66,4.59,4.61,9.1,11,1,0.820687056,"English"
"7","EE01","M",28,80.5,2,"High_freq","hot water",4.89,5.48,5.51,3.97,3.97,7.34,8,1,1.267609835,"English"
"8","EE01","M",28,80.5,1,"High_freq","left hand",5.6,5.47,5.69,3.92,4,7,8,1,1.63574791,"English"
"9","EE01","M",28,80.5,2,"High_freq","economic development",5.31,5.45,5.51,3.98,4.01,7.36,19,1,0.904860973,"English"
"10","EE01","M",28,80.5,1,"High_freq","nuclear power",4.85,5.44,5.53,4.08,4.09,7.81,12,1,0.700608015,"English"
"11","EE01","M",28,80.5,1,"High_freq","blue eyes",4.95,5.38,5.51,3.9,3.94,7.4,8,1,0.687021971,"English"
"12","EE01","M",28,80.5,1,"High_freq","common law",5.24,5.37,5.44,4.01,4.02,7.73,9,1,0.70622015,"English"
"13","EE01","M",28,80.5,1,"High_freq","main road",5.34,5.37,5.43,3.82,3.9,7.07,8,1,0.688429117,"English"
"14","EE01","M",28,80.5,2,"High_freq","high level",5.53,5.37,5.54,3.97,4.22,7.47,9,1,0.819361925,"English"
"15","EE01","M",28,80.5,2,"High_freq","social policy",5.56,5.36,5.48,3.89,3.98,7.19,12,1,0.81991601,"English"
"16","EE01","M",28,80.5,2,"High_freq","prime minister",5.03,5.32,5.43,4.93,4.94,10.95,13,1,0.636031151,"English"
"17","EE01","M",28,80.5,1,"High_freq","annual report",4.85,5.32,5.48,3.75,3.86,7.13,12,1,1.436706066,"English"
"18","EE01","M",28,80.5,1,"High_freq","front door",5.27,5.31,5.39,4.16,4.2,8.4,9,1,0.653343916,"English"
"19","EE01","M",28,80.5,2,"High_freq","european community",5.31,5.25,5.38,4.26,4.38,8.75,17,1,1.220216036,"English"
